score,magnitude,text
-0.20000000298023224,0.8999999761581421,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
-0.10000000149011612,1.399999976158142,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
0.10000000149011612,0.30000001192092896,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
-0.30000001192092896,0.30000001192092896,my whole body feels itchy and like its on fire 
-0.699999988079071,3.0,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
-0.5,0.5,@Kwesidei not the whole crew 
0.10000000149011612,0.10000000149011612,Need a hug 
0.30000001192092896,1.100000023841858,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
-0.6000000238418579,0.6000000238418579,@Tatiana_K nope they didn't have it 
0.0,0.0,@twittera que me muera ? 
0.0,0.0,spring break in plain city... it's snowing 
0.0,0.0,I just re-pierced my ears 
-0.6000000238418579,1.2999999523162842,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
-0.5,1.0,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
-0.30000001192092896,0.699999988079071,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
0.699999988079071,1.399999976158142,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
-0.800000011920929,0.800000011920929,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
0.0,0.0,about to file taxes 
0.8999999761581421,0.8999999761581421,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
-0.10000000149011612,0.30000001192092896,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
-0.5,0.5,@alydesigns i was out most of the day so didn't get much done 
-0.699999988079071,0.699999988079071,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
0.20000000298023224,0.20000000298023224,@angry_barista I baked you a cake but I ated it 
-0.8999999761581421,0.8999999761581421,this week is not going as i had hoped 
0.10000000149011612,0.10000000149011612,blagh class at 8 tomorrow 
-0.800000011920929,0.800000011920929,I hate when I have to call and wake people up 
-0.10000000149011612,0.10000000149011612,Just going to cry myself to sleep after watching Marley and Me.  
-0.800000011920929,0.800000011920929,im sad now  Miss.Lilly
0.10000000149011612,0.30000001192092896,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
-0.5,1.5,Meh... Almost Lover is the exception... this track gets me depressed every time. 
-0.800000011920929,0.800000011920929,some1 hacked my account on aim  now i have to make a new one
-0.10000000149011612,0.10000000149011612,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
0.0,1.2999999523162842,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
0.8999999761581421,1.7999999523162842,@julieebaby awe i love you too!!!! 1 am here  i miss you
-0.10000000149011612,0.10000000149011612,@HumpNinja I cry my asian eyes to sleep at night 
-0.699999988079071,1.5,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
-0.6000000238418579,0.6000000238418579,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
-0.20000000298023224,0.5,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
-0.699999988079071,2.200000047683716,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
0.0,1.2000000476837158,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
0.0,0.0,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
0.6000000238418579,0.6000000238418579,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
-0.800000011920929,1.7000000476837158,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
0.4000000059604645,0.8999999761581421,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
-0.30000001192092896,0.8999999761581421,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
0.4000000059604645,2.4000000953674316,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
-0.6000000238418579,0.6000000238418579,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
0.699999988079071,1.399999976158142,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
-0.800000011920929,0.800000011920929,is strangely sad about LiLo and SamRo breaking up. 
0.10000000149011612,1.100000023841858,@tea oh! i'm so sorry  i didn't think about that before retweeting.
-0.699999988079071,0.699999988079071,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
-0.20000000298023224,0.20000000298023224,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
-0.800000011920929,0.800000011920929,our duck and chicken are taking wayyy too long to hatch 
-0.10000000149011612,0.30000001192092896,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
0.4000000059604645,0.4000000059604645,I need a hug 
-0.20000000298023224,0.5,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
-0.800000011920929,0.800000011920929,@oanhLove I hate when that happens... 
-0.30000001192092896,0.800000011920929,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
-0.5,0.5,Ugh....92 degrees tomorrow 
0.10000000149011612,1.600000023841858,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
-0.30000001192092896,0.699999988079071,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
-0.6000000238418579,0.6000000238418579,just leaving the parking lot of work! 
0.0,1.7000000476837158,The Life is cool. But not for Me. 
-0.800000011920929,0.800000011920929,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
0.0,1.7000000476837158,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
-0.800000011920929,0.800000011920929,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
0.10000000149011612,0.10000000149011612,Damm back to school tomorrow 
